Province;GID_1;NAME_1
MAYSAN;IRQ.15_1;Maysan
BASRA;IRQ.2_1;Al-Basrah
DHI-QAR;IRQ.11_1;Dhi-Qar
KERBALA;IRQ.14_1;Karbala’
DIWANIYA;IRQ.4_1;Al-Qadisiyah
WASIT;IRQ.18_1;Wasit
